# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.5
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.390988582889e-01       1.097360398262e+02      -4.471707512112e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.311193327321e+03 
       1.437643538992e-01       1.278608592407e+02      -4.488248725662e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.171571953161e+03 
       1.485814558534e-01       1.516230245101e+02      -4.466858789197e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.023441584373e+03 
       1.535563387398e-01       1.778330691041e+02      -4.424718011347e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.876510956966e+03 
       1.586952018580e-01       2.024503151775e+02      -4.384458515490e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.741009784238e+03 
       1.640042785656e-01       2.213125184102e+02      -4.370424031419e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.624821817597e+03 
       1.694898474838e-01       2.315531111501e+02      -4.400258047992e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.531766166124e+03 
       1.751582464469e-01       2.322818145631e+02      -4.480974695271e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.460466253499e+03 
       1.810158900696e-01       2.254264080289e+02      -4.603370847453e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.404889165041e+03 
       1.870692917951e-01       2.152070630010e+02      -4.744888654202e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.355779486480e+03 
       1.933250912854e-01       2.080356017719e+02      -4.869388782570e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.302883815306e+03 
       1.997900880147e-01       2.095224066647e+02      -4.944227169694e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.238638331400e+03 
       2.064712819438e-01       2.218343063630e+02      -4.954794424622e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.162353076861e+03 
       2.133759221837e-01       2.425257442057e+02      -4.912186881504e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.078921835220e+03 
       2.205115646163e-01       2.648285509551e+02      -4.851984321926e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.978822000243e+02 
       2.278861395380e-01       2.816990481770e+02      -4.813313435515e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.268344692785e+02 
       2.355080305422e-01       2.875248063265e+02      -4.828729525970e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.705855541242e+02 
       2.433861660729e-01       2.826347920625e+02      -4.899063762312e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.269789722183e+02 
       2.515301253921e-01       2.717214694579e+02      -5.000739702851e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.903614653777e+02 
       2.599502611228e-01       2.641642656176e+02      -5.083147940341e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.522412377556e+02 
       2.686578411025e-01       2.657839574049e+02      -5.113275055931e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.084281162696e+02 
       2.776652130364e-01       2.777644091616e+02      -5.082053325377e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.592658129959e+02 
       2.869859964475e-01       2.923656139435e+02      -5.029391631085e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.106359806091e+02 
       2.966353077477e-01       3.003782620499e+02      -5.004452132697e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.687479167884e+02 
       3.066300260112e-01       2.982278718488e+02      -5.028724426292e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.347861053205e+02 
       3.169891093796e-01       2.891414565913e+02      -5.087144371758e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.062444354635e+02 
       3.277339751681e-01       2.832362437312e+02      -5.126804612926e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.773316878217e+02 
