# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       6.078887689376e-02      -1.921389017186e+02      -4.191363770146e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.134244374138e+04 
       6.417301183884e-02      -1.943811868670e+02      -4.498568468273e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.092367204088e+04 
       6.741388326782e-02      -1.926313816965e+02      -4.780002465703e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.051787729372e+04 
       7.057216188573e-02      -1.845357664327e+02      -5.030365072736e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.010024856826e+04 
       7.368769346297e-02      -1.682959393098e+02      -5.244685096631e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.658954086255e+03 
       7.678855618444e-02      -1.427842789695e+02      -5.419471128505e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       9.191021007091e+03 
       7.989569616866e-02      -1.076735684852e+02      -5.553577297418e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.700171598820e+03 
       8.302550294513e-02      -6.363180402667e+01      -5.649191171059e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       8.195326306703e+03 
       8.619133535352e-02      -1.224340871333e+01      -5.711713439706e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.688457254399e+03 
       8.940447334071e-02       4.402150989224e+01      -5.749767356533e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       7.193430769761e+03 
       9.267473708059e-02       1.019272874008e+02      -5.774948311251e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.723990652060e+03 
       9.601090385039e-02       1.578745521548e+02      -5.800394205116e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       6.292419843397e+03 
       9.942099686107e-02       2.081254493694e+02      -5.840072928812e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.908311503952e+03 
       1.029124901290e-01       2.494354571512e+02      -5.906555704693e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.576954992184e+03 
       1.064924565837e-01       2.792087576786e+02      -6.010376123323e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.299841066665e+03 
       1.101676767479e-01       2.962607268299e+02      -6.157280739657e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       5.073121141705e+03 
       1.139447193710e-01       3.009931737590e+02      -6.347392805309e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.888845840513e+03 
       1.178300016993e-01       2.957186251764e+02      -6.573970353699e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.734843680899e+03 
       1.218298347122e-01       2.849705789753e+02      -6.821961166018e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.596229067074e+03 
       1.259504571236e-01       2.749312673902e+02      -7.070031570153e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.456691343209e+03 
       1.301980609468e-01       2.728855153360e+02      -7.292112703197e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.301749785694e+03 
       1.345788107502e-01       2.854825652054e+02      -7.463615485653e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.120903353046e+03 
       1.390988582889e-01       3.173845306133e+02      -7.566016542340e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.910479583465e+03 
       1.437643538992e-01       3.688760949388e+02      -7.595509397227e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.674973625277e+03 
       1.485814558534e-01       4.360028006061e+02      -7.562703308635e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.425824785780e+03 
       1.535563387398e-01       5.097943351029e+02      -7.496120998524e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.179083322981e+03 
       1.586952018580e-01       5.789716767021e+02      -7.433045901883e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.951558076108e+03 
       1.640042785656e-01       6.320552864377e+02      -7.413119105957e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.756027108850e+03 
       1.694898474838e-01       6.611857127369e+02      -7.464927127431e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.598602898469e+03 
       1.751582464469e-01       6.639980896122e+02      -7.599611699109e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.476911610084e+03 
       1.810158900696e-01       6.459861097167e+02      -7.801619021608e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.380953560148e+03 
       1.870692917951e-01       6.189292917286e+02      -8.033763841206e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.295536806796e+03 
       1.933250912854e-01       6.002761693611e+02      -8.237962571992e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.204197664120e+03 
